social,giornale,titolo,commento,topic,sentiment,hate_speech
Instagram,La Repubblica,Strage di Cutro,"Che tristezza, ci sono luoghi del mondo da cui le persone possono solo scappare e noi rendiamo loro la fuga impossibile, scientemente",CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Portate via tutte le donne dal Pakistan direi ai governi. Se gli uomini là sono così bravi possono arrangiarsi da soli,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro, rip,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Credo ci fosse anche il campione nigeriano di Curling,CRONACA NERA,positivo,no
Instagram,La Repubblica,Strage di Cutro,Rabbia infinita per quello che è successo,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,E noi li ammazziamo a 100 metri dalla riva ,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,R.i.p,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Che bella ...!! Che tragedia!,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,"Per i populisti del mangino brioches, il populismo dei parvenus, sarebbe stato sufficiente che prendesse un aereo. Magari in prima classe, così viaggiava pure meglio.",CRONACA NERA,negativo,offensivo
Instagram,La Repubblica,Strage di Cutro,Sono persone che danno il voto alla sinistra pagandoli,CRONACA NERA,negativo,offensivo
Instagram,La Repubblica,Strage di Cutro,"Ma qualcuno sa la storia di questa ragazza e di questo figlio desiderato? Della malattia? Ma quanta cattiveria scrivete, quanta pressapochezza...",CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Che Dio protegga sua figlia,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Perdonaci Shahida Raza. E che tutti ci perdonino,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Amen,CRONACA NERA,positivo,no
Instagram,La Repubblica,Strage di Cutro,Questi post che lasciano aperti tutti i possibili commenti offrono uno spaccato reale della nostra soc. L ignoranza di chi pur si informa…seppur tifando di parte! Figuriamoci quelli che neppur si offrono al contraddittorio.,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,Mi spiegate per quale motivo i pachistani prendono i barconi????,CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,"Vedo in molti attaccare il nostro governo senza dire nulla sui criminali che li hanno messi in mare. E comunque se questi intelligenti guardassero una cartina geografica vedrebbero che tra la Turchia e l'Italia vi sono altri paesi, Cipro Grecia e Malta. Come mai nessuno di loro è intervenuto? Come mai se volevano entrare in Europa non si sono diretti in Grecia, paese decisamente più facile da raggiungere? Dai che lo capite da soli che dietro c'è un business e chi lo controlla vuole che tutti arrivino in Italia fregandosene della vita di queste povere persone.",CRONACA NERA,negativo,no
Instagram,La Repubblica,Strage di Cutro,mio sorella  ,CRONACA NERA,positivo,no
Instagram,La Repubblica,Strage di Cutro,#lastampa #LaRepubblica #domani #corrieredellasera #africanjournalist #africanjournalism #vergogna #vergognosi #shameless #africans #african #africa #africanfashion #africanprint #asia #asianfood #asianboy #asianbride #asianmodel #cgil #sinistraitaliana #sinistraitalianaverdi #SinistraItaliana #MovimentoCinqueStelle #Movimento5Stelle #movimento5stelle #movimentocinquestelleacasa #La7 #la7 #LA7  #InOndaEstate #inonda #CLANDESTINI #noclandestini #stopbusinessimmigrazione #stopsostituzioneetnica #stopbusinessaccoglienza #stopsbarchi  #partitoantidemocratico #partitodemocratico #partitodisastri #partitoantidemocratico #Pd  #PD #pdacasa #partitodemocraticoacasa #partitocontrogliitaliani #EllySchlein #ellischleinsegretariapd #ELLYSCHLEIN #ellysclein #Boldrini #LauraBoldrini #lauraboldrini #acasa  #immigrati #immigrazionisti #immigrazione #immigrazionefuoricontrollo #immigrants #immigration #stopclandestini #stopinvasione #Stopinvasione #stopinvasion #bastabuonismo #bastapd #bastaimmigrati #stopsostituzioneetnica #nopianokalergi,CRONACA NERA,negativo,offensivo
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Era hamas,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Il problema non sono le auto rotte e le tegole scoperchiate. Il problema sono i migliaia di bambini uccisi. Ma quelli non li fate vedere,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,"Certo si, 1000 e passa sfollati in un piccolo parcheggio di servizio  dove c'è un minuscolo buchetto per terra e edifici completamente intatto intorno... ",POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Ma che diavolo di post create? Ma quale boomer ha potuto creare un post del genere con le vignette? Ma tutto bene?,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Ma a me l’ospedale sembra intatto,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Solo chiamarla esplosione è non razzo dimostra la matrice $10n1$*tdel giornale,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Citofonate Hamas.,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,"Menomale che mi avete detto che l’auto era rovesciata, potevo mancarla effettivamente",POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Free Palestine,POLITICA,positivo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Un missile lanciato da un caccia polverizza tutto. Non incendia auto e scoperchia tetti,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Una guerra sporca combattuta da entrambe le parti sulla pelle della povera gente,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,"Ma voi del Corriere proprio non ce la fate a parlare del popolo Palestinese senza identificarlo con Hamas?
Invece che delle finestre rotte parlate della crisi umanitaria che la “democrazia moderna”  Israeliana sta perpetrando nei confronti di civili indifesi.
Dovreste provare vergogna quando vi definite giornalisti.",POLITICA,negativo,offensivo
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Ma non era una bomba di aereo israeliano?,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Il missile che ha colpito l'ospedale era di fabbricazione iraniana,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Se era un missile israeliano le macchine sarebbero arrivate al cairo!!! Hamas ISIS,POLITICA,negativo,no
Instagram,Corriere Della Sera,Attacco di Hamas a Israele,Andate a vedere le foto dei bambini morti senza la parte inferiore e il cimitero dei bambini li,POLITICA,negativo,no
