social,giornale,titolo,commento,topic,sentiment,hate_speech
Instagram,FanPage,Alluvioni Emilia Romagna,Bravo,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Ho capito una cricca di amici cioè in gruppo di amici. . Cmq ,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,"Ohi tutti a spalare tranne Salvini Bonaccini e Meloni, irriducibili scansafatiche",CRONACA,negativo,offensivo
Instagram,FanPage,Alluvioni Emilia Romagna,Bravo cricca,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Vorrei donare giubbotto scarpe maglie  dove mi devo rivolgere ,CRONACA,positivo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Bravo Cricca non mi sbaglio sei forte ,CRONACA,positivo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Bravo CRICCA nel tuo piccolo 6 un GRANDE,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Ragazzo fantastico come tutti gli altri ragazzi meravigliosi,CRONACA,positivo,no
Instagram,FanPage,Alluvioni Emilia Romagna,"In che stato viviamo ,i cittadini non solo hanno perso case,auto e tanto altro ma in più devono rimboccarsi le maniche per spalare il fango!!!",CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,"Bravo,spero che altri seguano il tuo esempio ",CRONACA,positivo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Bravo il ragazzo,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Sembra diventata una passerella che sposta l' attenzione dai reali problemi ..personaggi noti e non che vogliono aiutare lo facessero a telecamere spente,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,@ireneemarchetti,CRONACA,positivo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Bravo ragazzo!!,CRONACA,positivo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Ringraziate il PD    ,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Ecco i nostri giovani ragazzi del fango. Grazie ,CRONACA,positivo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Non avevo dubbi che Cricca andasse ad aiutare. E doveva essere in finale ,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Chiamate anche gli ambientalisti così li tenete occupati.,CRONACA,negativo,no
Instagram,FanPage,Alluvioni Emilia Romagna,Bravi ragazzi ,CRONACA,positivo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Persa occasione per stare zitto.,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Ma come è possibile ne ha parlato chiunque a livello locale e internazionale,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Ma dove vivono questi? Su Marte?,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,... Ma pensa un po'... ,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Arrampicatina sugli specchi???,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Arrivano dalla luna??,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,"Mi sa tanto di ti giuro mamma che non sapevo fosse fumo, pensavo fosse diavolina",CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,Ipocrisia al 100%100,CRONACA,negativo,offensivo
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,A volte il silenzio vale più di mille parole.,CRONACA,negativo,no
Instagram,Il Corriere Della Sera,Alluvioni Emilia Romagna,È comunque sempre in tempo per... Spenderle 2 parole visto che ora... Sa,CRONACA,positivo,no
